full_hash,short_hash,author_date,commit_date,subject,is_merge,files_changed,insertions,deletions
cf1b8197c6334344c5b132344400ea4ed6cc82f5,cf1b819,2026-09-06 19:57:11 +0900,2026-09-06 19:57:11 +0900,Revalidate 2022 June mock vocabulary data,False,3,1785,232
ad9cf4cc8785b4fae5c96b52702d411de4ab4405,ad9cf4c,2026-09-07 07:18:16 +0900,2026-09-07 07:18:16 +0900,Revalidate 2022 September mock vocabulary data,False,2,2017,128
bdcab453c69fbd4b122ea200e3555fa6aa213941,bdcab45,2026-09-07 08:01:06 +0900,2026-09-07 08:01:06 +0900,Revalidate 2027 June mock vocabulary data,False,2,3090,53
ed43db641ce982838a63955d908240ba55d95ea9,ed43db6,2026-09-07 08:46:36 +0900,2026-09-07 08:46:36 +0900,Revalidate 2026 existing vocabulary contexts,False,2,598,828
b5cd9be996c1e3ebb5ab608d10e1ca885a6e0f50,b5cd9be,2026-09-07 17:27:01 +0900,2026-09-07 17:27:01 +0900,Add verified 2026 vocabulary entries,False,2,4365,0
abd1c92d1404d9fd60d713931b529b3ac394c0fd,abd1c92,2026-09-07 19:48:26 +0900,2026-09-07 19:48:26 +0900,Add verified 2025 vocabulary entries,False,2,4639,1
0ceb6d557766134a6247f18d3494f5be2ee3d382,0ceb6d5,2026-09-08 08:16:34 +0900,2026-09-08 08:16:34 +0900,Add verified 2024 vocabulary entries,False,2,4082,0
59c02bc407a26dc88bea4237b0c1e666b37ddf3b,59c02bc,2026-09-08 09:07:36 +0900,2026-09-08 09:07:36 +0900,Add verified 2023 June vocabulary entries,False,2,1422,0
0bc68580d441a90d23d129338b1545de12847f92,0bc6858,2026-09-08 09:30:31 +0900,2026-09-08 09:30:31 +0900,Add verified 2023 September vocabulary entries,False,2,1354,0
7204b1d4a95111d2e0665999aa5f3f55378862a2,7204b1d,2026-09-08 09:59:50 +0900,2026-09-08 09:59:50 +0900,Add verified 2023 CSAT vocabulary entries,False,2,1508,0
2d1c83af803af26527042ebe6c224758c73e437c,2d1c83a,2026-09-08 10:36:35 +0900,2026-09-08 10:36:35 +0900,Fix high-priority database integrity issues,False,2,96,61
f586aaff3de534c51239fc123ab1270f3154e93b,f586aaf,2026-09-08 10:43:48 +0900,2026-09-08 10:43:48 +0900,Remove unsupported legacy exam contexts,False,2,25,84
f87244bb6c77792ccb92ad175567cb7d63cb46eb,f87244b,2026-09-08 10:56:33 +0900,2026-09-08 10:56:33 +0900,Finalize verified exam corpus,False,2,47,181
9cbcafafb7d203a0a8a1f249f7e846d4e4a56c6d,9cbcafa,2026-09-08 11:25:09 +0900,2026-09-08 11:25:09 +0900,Clean legacy database metadata,False,2,257,1076
1dffcd4bb10303221459bb971971831fa96a667a,1dffcd4,2026-09-08 13:47:58 +0900,2026-09-08 13:47:58 +0900,Restore exam metadata and remove unsupported contexts,False,2,400,694
4e890507b45c311da7ed3384053dab75b9fa4ac4,4e89050,2026-09-08 13:55:50 +0900,2026-09-08 13:55:50 +0900,Normalize vocabulary categories,False,2,190,134
6309ec42d9e65454c5417593ad00d4ebd3ed6522,6309ec4,2026-09-08 14:16:36 +0900,2026-09-08 14:16:36 +0900,Verify dictionary sources,False,2,243,101
646be4cd7d04ca0861792b5387ce294c2111ab0b,646be4c,2026-09-08 14:22:23 +0900,2026-09-08 14:22:23 +0900,Resolve editorial review items,False,2,63,16
9a91e3e1a625547159b69f6b5db9f58fe040cb79,9a91e3e,2026-09-08 14:33:57 +0900,2026-09-08 14:33:57 +0900,Assign vocabulary difficulty levels,False,2,1456,701
5300d1c5bc9032a3cb8285e08d9c122fd8752737,5300d1c,2026-09-08 14:42:53 +0900,2026-09-08 14:42:53 +0900,Audit difficulty boundary classifications,False,1,61,0
bd0d6575f2a784e0b6211b204d1dc71d6f816d9a,bd0d657,2026-09-08 14:57:27 +0900,2026-09-08 14:57:27 +0900,Add difficulty filters and clean legacy type metadata,False,3,216,362
62c205ea13ce0cc9f944575ce3ed586189609576,62c205e,2026-09-08 15:04:17 +0900,2026-09-08 15:04:17 +0900,Finalize difficulty UI and regression checks,False,2,92,8
a18f436642b5186ecf1aee48c040685c8e70370d,a18f436,2026-09-08 15:34:19 +0900,2026-09-08 15:34:19 +0900,Improve search engine discoverability,False,6,158,21
